                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2177,                 1.1795,                0.99511,                 0.9452,                0.90028,                0.95854,                 0.6641,                 1.0771,                0.65025,                0.93603,             0.00047562,             0.00047562,             0.00047562
                      2,                 1.0542,                0.66239,                0.93782,                 0.9596,                0.91556,                0.96725,                0.68872,                   1.01,                 0.5594,                0.91885,              0.0009331,              0.0009331,              0.0009331
                      3,                 1.0223,                0.59202,                0.92975,                0.95723,                0.93316,                0.97231,                0.71476,                0.96618,                0.54785,                0.91446,              0.0013717,              0.0013717,              0.0013717
                      4,                0.99907,                0.55346,                0.92501,                 0.9575,                 0.9434,                0.97414,                0.71614,                0.97379,                0.51617,                0.91662,              0.0013441,              0.0013441,              0.0013441
                      5,                 0.9771,                0.52974,                0.92093,                0.96464,                0.93071,                0.97533,                0.71572,                0.98323,                0.52076,                0.91196,              0.0013441,              0.0013441,              0.0013441
                      6,                0.96414,                0.51183,                0.91613,                0.96207,                0.95603,                0.97723,                0.73697,                 0.9481,                0.46994,                0.90808,              0.0013158,              0.0013158,              0.0013158
                      7,                 0.9472,                0.49622,                0.91201,                0.96254,                0.95452,                0.97936,                0.72666,                  0.947,                0.47881,                0.90867,              0.0012875,              0.0012875,              0.0012875
                      8,                0.94096,                0.48357,                0.90885,                0.96814,                0.95091,                0.98102,                0.74158,                0.93974,                0.45623,                0.90955,              0.0012592,              0.0012592,              0.0012592
                      9,                 0.9281,                0.47601,                0.90654,                0.96816,                0.95581,                0.98063,                0.75008,                 0.9228,                0.45705,                0.90271,              0.0012309,              0.0012309,              0.0012309
                     10,                0.91984,                0.46854,                0.90489,                0.97018,                 0.9532,                0.98098,                0.74572,                0.92886,                0.44427,                0.90172,              0.0012026,              0.0012026,              0.0012026
                     11,                0.91601,                 0.4622,                0.90259,                0.96958,                0.95915,                0.98316,                0.75784,                0.91213,                0.43171,                0.89844,              0.0011744,              0.0011744,              0.0011744
                     12,                0.90132,                0.45098,                0.89815,                0.97526,                0.96278,                0.98201,                0.75327,                0.92902,                0.43293,                0.90133,              0.0011461,              0.0011461,              0.0011461
                     13,                0.89707,                0.44819,                 0.8996,                0.97447,                0.95772,                0.98117,                0.74935,                0.91498,                0.42775,                0.90226,              0.0011178,              0.0011178,              0.0011178
                     14,                 0.8899,                0.44102,                0.89849,                0.97467,                0.96321,                0.98198,                  0.761,                0.91076,                0.41813,                0.90206,              0.0010895,              0.0010895,              0.0010895
                     15,                0.88741,                0.43596,                0.89608,                0.97442,                0.96819,                0.98344,                0.76295,                0.90976,                 0.4208,                0.89912,              0.0010612,              0.0010612,              0.0010612
                     16,                0.88317,                0.43274,                0.89513,                 0.9689,                 0.9587,                0.97997,                0.74839,                 0.9108,                0.43912,                0.90169,              0.0010329,              0.0010329,              0.0010329
                     17,                 0.8754,                0.42967,                0.89329,                0.97564,                0.96697,                0.98431,                0.76193,                0.90554,                0.41286,                0.89872,              0.0010046,              0.0010046,              0.0010046
                     18,                0.87306,                0.42457,                0.89191,                0.97228,                0.96773,                 0.9824,                0.76208,                0.90535,                0.41933,                0.89842,             0.00097629,             0.00097629,             0.00097629
                     19,                0.86426,                0.41883,                0.89126,                 0.9744,                0.96446,                0.98276,                0.76135,                0.90051,                0.40786,                0.89579,               0.000948,               0.000948,               0.000948
                     20,                0.86451,                0.41876,                0.89099,                0.97252,                0.96544,                0.98269,                0.76452,                 0.9044,                0.41575,                0.90171,              0.0009197,              0.0009197,              0.0009197
                     21,                 0.8574,                 0.4157,                0.88991,                0.97406,                0.96418,                0.98467,                0.76703,                 0.9081,                0.41339,                0.90216,             0.00089141,             0.00089141,             0.00089141
                     22,                  0.853,                0.40956,                0.88715,                0.97667,                0.96888,                0.98539,                0.76664,                0.89496,                0.39809,                0.89509,             0.00086312,             0.00086312,             0.00086312
                     23,                0.85035,                0.40769,                0.88538,                0.97543,                0.96649,                0.98471,                0.76509,                0.89931,                 0.4027,                0.89781,             0.00083482,             0.00083482,             0.00083482
                     24,                0.84408,                0.40196,                0.88603,                 0.9731,                0.97031,                  0.985,                0.77091,                0.89223,                0.40114,                0.89647,             0.00080653,             0.00080653,             0.00080653
                     25,                0.83961,                0.39897,                0.88367,                0.97947,                 0.9691,                0.98681,                0.77064,                0.88502,                0.38939,                0.89544,             0.00077823,             0.00077823,             0.00077823
                     26,                0.83406,                0.39511,                0.88495,                0.97695,                0.96913,                0.98536,                 0.7692,                0.89939,                0.39786,                0.89905,             0.00074994,             0.00074994,             0.00074994
                     27,                0.83605,                0.39537,                0.88152,                0.97722,                0.96967,                0.98569,                0.77216,                0.88288,                0.39119,                0.89451,             0.00072164,             0.00072164,             0.00072164
                     28,                0.83096,                0.39192,                0.88149,                0.97446,                0.97097,                 0.9858,                0.77484,                0.88228,                0.38944,                0.89493,             0.00069335,             0.00069335,             0.00069335
                     29,                0.82873,                0.38896,                0.88312,                0.97321,                0.97339,                0.98478,                0.77825,                0.88143,                0.38422,                0.89377,             0.00066506,             0.00066506,             0.00066506
                     30,                0.82531,                 0.3865,                0.88207,                0.97442,                0.97278,                0.98559,                0.77319,                0.87767,                0.38223,                0.89226,             0.00063676,             0.00063676,             0.00063676
                     31,                0.82427,                0.38453,                0.87899,                 0.9739,                0.96983,                0.98539,                0.77233,                0.88838,                0.39251,                0.89747,             0.00060847,             0.00060847,             0.00060847
