                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8439,                 4.4638,                 1.3399,                0.57977,                0.25645,                0.22553,                0.16101,                 1.1624,                 2.1426,                 1.0347,             8.3212e-05,             8.3212e-05,             8.3212e-05
                      2,                 1.0677,                 2.0134,                0.95414,                0.69089,                0.32862,                0.42654,                 0.3297,                0.91061,                 1.3374,                0.93309,             0.00016325,             0.00016325,             0.00016325
                      3,                0.94137,                 1.4219,                0.92337,                0.64672,                0.43128,                0.50263,                0.38845,                0.89674,                 1.1282,                0.93199,             0.00023998,             0.00023998,             0.00023998
                      4,                0.87777,                 1.1744,                0.90765,                 0.6548,                0.44006,                0.52065,                 0.4092,                 0.8092,                 1.0172,                0.90563,             0.00023515,             0.00023515,             0.00023515
                      5,                0.83573,                 1.0064,                0.89782,                0.69251,                0.47322,                 0.5533,                0.43932,                0.76259,                0.89699,                0.87898,             0.00023515,             0.00023515,             0.00023515
                      6,                0.80639,                 0.8927,                0.88892,                0.72398,                0.51122,                0.56214,                0.45915,                0.76108,                0.82182,                0.87472,              0.0002302,              0.0002302,              0.0002302
                      7,                0.76889,                0.79832,                0.88062,                 0.7293,                0.46676,                0.61384,                0.48957,                0.73127,                0.80153,                0.87478,             0.00022525,             0.00022525,             0.00022525
                      8,                0.75916,                0.75006,                0.87486,                0.80729,                0.47678,                0.62346,                0.50306,                0.74115,                0.78521,                0.87251,              0.0002203,              0.0002203,              0.0002203
                      9,                0.74233,                0.70291,                0.86911,                0.71586,                0.59472,                0.69797,                0.56783,                0.70482,                0.70295,                  0.867,             0.00021535,             0.00021535,             0.00021535
                     10,                0.73361,                0.66434,                0.87028,                0.74249,                0.59273,                0.68573,                 0.5559,                0.68075,                0.73704,                0.86465,              0.0002104,              0.0002104,              0.0002104
