                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4545,                 2.6292,                 3.1509,                0.78214,                0.70705,                0.78452,                0.46438,                 1.4065,                 1.2419,                 1.9448,              0.0033309,              0.0033309,              0.0033309
                      2,                  1.443,                 1.1448,                 1.7953,                0.88701,                0.85218,                0.91923,                0.61049,                 1.1533,                0.73926,                  1.621,              0.0064443,              0.0064443,              0.0064443
                      3,                 1.2949,                0.93194,                 1.6423,                0.90075,                0.86947,                 0.9291,                0.62773,                  1.104,                0.68328,                 1.5501,              0.0093377,              0.0093377,              0.0093377
                      4,                 1.2147,                0.82979,                  1.569,                0.91476,                0.90685,                0.95668,                0.67758,                 1.0176,                0.56343,                 1.4736,                0.00901,                0.00901,                0.00901
                      5,                 1.1475,                0.74216,                 1.5023,                0.92615,                0.92325,                0.96611,                0.69808,                0.98305,                0.51301,                 1.4164,                0.00901,                0.00901,                0.00901
                      6,                 1.1053,                0.69106,                 1.4641,                0.92865,                0.93074,                0.97148,                0.71265,                0.96052,                0.47881,                 1.4025,                0.00868,                0.00868,                0.00868
                      7,                 1.0785,                0.65873,                  1.436,                0.93425,                0.93581,                0.97327,                0.72885,                0.92705,                0.44819,                  1.357,                0.00835,                0.00835,                0.00835
                      8,                 1.0626,                0.63613,                 1.4216,                0.93733,                0.94251,                0.97607,                0.73531,                0.92093,                0.42925,                 1.3401,                0.00802,                0.00802,                0.00802
                      9,                 1.0425,                0.61648,                 1.4049,                 0.9378,                0.94491,                0.97777,                0.74519,                0.90329,                0.42167,                 1.3271,                0.00769,                0.00769,                0.00769
                     10,                 1.0253,                0.59875,                 1.3868,                0.94122,                0.94739,                0.97884,                0.75097,                0.89032,                0.40583,                 1.3152,                0.00736,                0.00736,                0.00736
                     11,                 1.0179,                0.58813,                 1.3802,                0.93814,                0.95178,                 0.9797,                0.75241,                0.88011,                0.40015,                 1.3006,                0.00703,                0.00703,                0.00703
                     12,                 1.0038,                0.57665,                 1.3662,                0.94094,                 0.9505,                0.98117,                0.75737,                0.87338,                0.38894,                 1.2948,                 0.0067,                 0.0067,                 0.0067
                     13,                0.99364,                0.56293,                 1.3531,                0.93931,                0.95381,                0.98088,                0.76268,                 0.8669,                0.38371,                 1.2856,                0.00637,                0.00637,                0.00637
                     14,                0.98562,                0.55474,                 1.3444,                0.94488,                0.95254,                0.98205,                0.76538,                0.86051,                0.37492,                 1.2794,                0.00604,                0.00604,                0.00604
                     15,                0.97936,                0.54889,                  1.338,                0.94143,                 0.9553,                 0.9814,                 0.7671,                0.85432,                0.37203,                 1.2689,                0.00571,                0.00571,                0.00571
                     16,                0.97144,                0.53979,                 1.3329,                0.94512,                0.95405,                0.98202,                 0.7696,                0.85087,                0.36759,                 1.2643,                0.00538,                0.00538,                0.00538
                     17,                0.96115,                 0.5301,                 1.3189,                0.94905,                0.95006,                0.98279,                0.77235,                0.84653,                 0.3617,                 1.2566,                0.00505,                0.00505,                0.00505
                     18,                0.95812,                0.52511,                 1.3167,                0.95121,                0.95087,                0.98342,                  0.774,                0.84318,                0.35771,                 1.2519,                0.00472,                0.00472,                0.00472
                     19,                0.95014,                0.51797,                 1.3086,                0.94814,                0.95431,                0.98363,                 0.7748,                0.84094,                0.35539,                 1.2477,                0.00439,                0.00439,                0.00439
                     20,                0.94233,                0.51204,                 1.3038,                0.94824,                0.95535,                0.98387,                0.77644,                 0.8379,                0.35192,                 1.2454,                0.00406,                0.00406,                0.00406
                     21,                0.87747,                0.41785,                 1.2527,                0.94965,                0.95587,                0.98446,                0.77931,                0.83493,                0.34852,                 1.2446,                0.00373,                0.00373,                0.00373
                     22,                0.86418,                0.40841,                 1.2401,                0.95084,                 0.9567,                0.98478,                0.78203,                0.83128,                0.34571,                 1.2409,                 0.0034,                 0.0034,                 0.0034
                     23,                0.85593,                0.40066,                 1.2368,                0.95213,                0.95721,                  0.985,                0.78391,                0.82787,                0.34325,                 1.2387,                0.00307,                0.00307,                0.00307
                     24,                0.84699,                 0.3939,                 1.2282,                0.95216,                0.95808,                0.98526,                0.78547,                0.82505,                0.34125,                 1.2365,                0.00274,                0.00274,                0.00274
                     25,                0.83804,                0.38742,                 1.2235,                0.95319,                0.95787,                0.98553,                0.78665,                  0.823,                0.33965,                 1.2349,                0.00241,                0.00241,                0.00241
                     26,                0.82951,                0.38089,                 1.2181,                0.95384,                0.95756,                0.98568,                0.78795,                0.82082,                  0.338,                 1.2331,                0.00208,                0.00208,                0.00208
                     27,                0.82151,                0.37395,                 1.2098,                0.95246,                0.95924,                0.98578,                0.78868,                0.81893,                0.33627,                 1.2315,                0.00175,                0.00175,                0.00175
                     28,                0.81161,                 0.3667,                 1.2006,                0.95407,                0.95851,                0.98583,                0.78947,                0.81709,                0.33487,                 1.2296,                0.00142,                0.00142,                0.00142
                     29,                0.80411,                0.36041,                 1.1979,                0.95569,                0.95769,                0.98604,                0.79027,                 0.8153,                0.33337,                  1.228,                0.00109,                0.00109,                0.00109
                     30,                0.79531,                0.35439,                 1.1904,                0.95643,                 0.9573,                0.98617,                0.79132,                0.81378,                0.33223,                 1.2266,                0.00076,                0.00076,                0.00076
