                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1886,                   3.73,                 3.0326,                0.86774,                0.70323,                0.80391,                0.57914,                 1.0555,                 1.3832,                 1.9101,               0.003329,               0.003329,               0.003329
                      2,                0.98566,                 1.5053,                 1.5897,                0.91658,                0.86869,                0.95136,                0.79371,                0.64756,                 0.7482,                 1.3625,              0.0064425,              0.0064425,              0.0064425
                      3,                0.84574,                 1.0571,                 1.4129,                0.92573,                0.90503,                0.95854,                0.81145,                0.60626,                0.81064,                 1.3048,               0.009336,               0.009336,               0.009336
                      4,                0.74639,                0.78015,                 1.3081,                0.93958,                0.92813,                0.97129,                0.84148,                0.54423,                0.49902,                 1.2192,                0.00901,                0.00901,                0.00901
                      5,                  0.683,                0.64981,                 1.2433,                0.94552,                 0.9329,                 0.9752,                0.85736,                0.51941,                0.40405,                 1.1785,                0.00901,                0.00901,                0.00901
                      6,                0.63435,                0.58253,                 1.1979,                0.94808,                 0.9364,                0.97442,                0.86464,                0.48099,                0.37823,                 1.1457,                0.00868,                0.00868,                0.00868
                      7,                 0.6063,                0.54334,                 1.1725,                0.95125,                0.94072,                0.97696,                0.87881,                 0.4572,                0.35145,                 1.1184,                0.00835,                0.00835,                0.00835
                      8,                0.58371,                0.51614,                 1.1534,                0.94147,                0.94733,                0.97699,                0.88375,                0.44847,                0.34266,                 1.1101,                0.00802,                0.00802,                0.00802
                      9,                0.56289,                0.49537,                 1.1396,                0.94795,                0.95159,                0.98185,                 0.8941,                0.43509,                0.32461,                 1.1003,                0.00769,                0.00769,                0.00769
                     10,                0.54668,                 0.4711,                 1.1256,                0.94619,                0.95547,                0.98078,                0.89696,                0.42297,                0.31558,                 1.0839,                0.00736,                0.00736,                0.00736
                     11,                0.53302,                0.45553,                 1.1127,                0.95028,                0.95604,                0.98111,                0.89978,                0.40889,                0.30348,                 1.0688,                0.00703,                0.00703,                0.00703
                     12,                0.52176,                0.44006,                 1.1032,                0.95557,                  0.958,                 0.9837,                0.90916,                0.39585,                0.28728,                 1.0548,                 0.0067,                 0.0067,                 0.0067
                     13,                0.51413,                0.43198,                 1.0971,                0.95783,                0.95713,                0.98412,                0.90867,                0.39602,                0.27925,                 1.0559,                0.00637,                0.00637,                0.00637
                     14,                0.50466,                0.41856,                 1.0896,                0.95635,                0.95546,                0.98509,                0.91368,                0.38766,                0.27384,                 1.0455,                0.00604,                0.00604,                0.00604
                     15,                0.49827,                0.41017,                  1.084,                0.96245,                0.95412,                0.98594,                0.91545,                0.37993,                0.26713,                 1.0381,                0.00571,                0.00571,                0.00571
                     16,                0.49021,                0.39867,                 1.0758,                0.95746,                0.95992,                 0.9844,                0.91718,                0.37806,                0.26483,                 1.0351,                0.00538,                0.00538,                0.00538
                     17,                 0.4812,                0.38938,                 1.0688,                0.95977,                0.95815,                0.98479,                0.91754,                0.37266,                0.25579,                 1.0287,                0.00505,                0.00505,                0.00505
                     18,                0.47287,                0.38188,                  1.064,                 0.9611,                0.96091,                  0.985,                0.92147,                0.36628,                0.25308,                 1.0215,                0.00472,                0.00472,                0.00472
                     19,                0.46764,                0.37399,                 1.0561,                0.95535,                  0.967,                0.98465,                0.92036,                0.36616,                0.25123,                 1.0222,                0.00439,                0.00439,                0.00439
                     20,                0.46014,                0.37006,                 1.0517,                0.96189,                0.95748,                0.98614,                 0.9246,                0.36045,                0.24231,                 1.0157,                0.00406,                0.00406,                0.00406
                     21,                0.40173,                 0.2973,                 1.0385,                0.95698,                0.96644,                0.98754,                0.92826,                0.35501,                0.23903,                 1.0101,                0.00373,                0.00373,                0.00373
                     22,                0.39099,                0.28536,                 1.0276,                0.95755,                0.96694,                0.98823,                0.93237,                0.35006,                0.23448,                 1.0042,                 0.0034,                 0.0034,                 0.0034
                     23,                0.38307,                0.27793,                 1.0194,                0.95957,                0.96923,                0.98793,                0.93308,                0.34549,                0.22827,                0.99939,                0.00307,                0.00307,                0.00307
                     24,                0.37534,                0.26905,                  1.011,                0.96017,                0.96483,                0.98882,                0.93404,                0.34399,                0.22496,                0.99757,                0.00274,                0.00274,                0.00274
                     25,                0.36816,                0.26293,                 1.0039,                 0.9602,                 0.9672,                0.98899,                0.93566,                0.34131,                0.22311,                0.99441,                0.00241,                0.00241,                0.00241
                     26,                0.36117,                0.25547,                0.99615,                0.96374,                0.96278,                0.98881,                0.93663,                0.33866,                0.22053,                0.99257,                0.00208,                0.00208,                0.00208
                     27,                 0.3543,                0.24895,                0.98962,                 0.9618,                0.96869,                0.98902,                0.93681,                0.33724,                0.21959,                0.99106,                0.00175,                0.00175,                0.00175
                     28,                0.34882,                0.24107,                0.98481,                0.96298,                0.96842,                0.98955,                0.93809,                 0.3358,                0.21602,                0.98944,                0.00142,                0.00142,                0.00142
                     29,                0.34171,                0.23432,                0.97939,                0.96277,                0.96763,                0.98981,                0.93741,                 0.3347,                0.21537,                0.98876,                0.00109,                0.00109,                0.00109
                     30,                0.33506,                0.22924,                0.97238,                0.96752,                0.96332,                0.98994,                0.93889,                0.33376,                0.21344,                0.98748,                0.00076,                0.00076,                0.00076
